date,Plato,Aristotle,Socrates
1/18/2024,84,71,74
1/19/2024,62,64,58
1/20/2024,40,39,41
1/21/2024,51,45,45
1/22/2024,90,91,71
1/23/2024,89,80,79
1/24/2024,100,92,86
1/25/2024,86,87,73
1/26/2024,74,75,65
1/27/2024,47,42,37
1/28/2024,62,56,49
1/29/2024,89,88,82
1/30/2024,86,95,77
1/31/2024,89,87,70
2/1/2024,98,82,73
2/2/2024,68,80,63
2/3/2024,57,37,39
2/4/2024,59,50,47
2/5/2024,91,98,77
2/6/2024,96,97,63
2/7/2024,88,89,69
2/8/2024,89,88,67
2/9/2024,69,71,59
2/10/2024,54,42,39
2/11/2024,53,49,36
2/12/2024,84,85,48
2/13/2024,77,77,63
2/14/2024,79,82,63
2/15/2024,80,84,62
2/16/2024,69,73,53
2/17/2024,47,50,37
2/18/2024,51,54,38
2/19/2024,63,67,55
2/20/2024,68,79,66
2/21/2024,81,85,62
2/22/2024,77,80,59
2/23/2024,74,73,52
2/24/2024,53,53,33
2/25/2024,55,49,36
2/26/2024,76,87,64
2/27/2024,77,90,61
2/28/2024,74,78,60
2/29/2024,72,74,67
3/1/2024,68,77,55
3/2/2024,44,40,27
3/3/2024,56,42,34
3/4/2024,74,81,69
3/5/2024,72,69,52
3/6/2024,74,81,52
3/7/2024,69,82,56
3/8/2024,62,61,50
3/9/2024,38,37,36
3/10/2024,41,39,40
3/11/2024,60,66,48
3/12/2024,66,57,48
3/13/2024,56,60,47
3/14/2024,61,66,51
3/15/2024,55,55,41
3/16/2024,45,32,33
3/17/2024,49,48,33
3/18/2024,60,70,51
3/19/2024,59,64,51
3/20/2024,58,64,45
3/21/2024,48,52,51
3/22/2024,53,54,41
3/23/2024,43,33,29
3/24/2024,38,41,30
3/25/2024,58,52,42
3/26/2024,57,66,49
3/27/2024,44,65,36
3/28/2024,59,59,37
3/29/2024,41,41,37
3/30/2024,31,29,30
3/31/2024,41,39,30
4/1/2024,56,56,28
4/2/2024,56,56,40
4/3/2024,56,57,39
4/4/2024,57,53,41
4/5/2024,54,49,36
4/6/2024,41,35,27
4/7/2024,52,37,30
4/8/2024,58,53,35
4/9/2024,63,57,40
4/10/2024,58,57,41
4/11/2024,61,57,41
4/12/2024,55,52,41
4/13/2024,41,32,29
4/14/2024,43,38,29
4/15/2024,52,58,39
4/16/2024,62,57,40
4/17/2024,55,54,42
4/18/2024,61,53,44
